item,item_id,item_name,group,group_tag,type,change,format,type,critical,speaker,stimuli,Exaggeration,sentence,sentence_revised,critical region,question,answer,hasquestion,
1,library_dir_lit,library,1,library1,exp,adjective,direct,literal,loudly,John,"John and Mary went to the library together. While they were studying, Mary answered several phone calls in a very loud voice. John said: ""Mary, you're speaking too loudly for my liking.""",1,"John and Mary went to the library together.*While they were studying, Mary answered several phone calls in a very loud voice.*John said: ""Mary, you're speaking too*loudly*for my liking.""","John and Mary went to the library together.*While they were studying, Mary answered several phone calls in a very loud voice.*John said:*""Mary,*you're speaking*too*loudly*for my*liking.""",7,Were John and Mary at the library?,1,1,
1,library_dir_sarc,library,2,library2,exp,adjective,direct,sarcastic,quietly,John,"John and Mary went to the library together. While they were studying, Mary answered several phone calls in a very loud voice. John said: ""Mary, you're speaking too quietly for my liking.""",1,"John and Mary went to the library together.*While they were studying, Mary answered several phone calls in a very loud voice.*John said: ""Mary, you're speaking too*quietly*for my liking.""","John and Mary went to the library together.*While they were studying, Mary answered several phone calls in a very loud voice.*John said:*""Mary,*you're speaking*too*quietly*for my*liking.""",7,Were John and Mary at the library?,1,1,
1,library_ind_lit,library,3,library3,exp,adjective,indirect,literal,loudly,John,"John and Mary went to the library together. While they were studying, Mary answered several phone calls, in a very loud voice. John said that Mary was speaking too loudly for his liking.",1,"John and Mary went to the library together.*While they were studying, Mary answered several phone calls, in a very loud voice.*John said that Mary was speaking too*loudly*for his liking.","John and Mary went to the library together.*While they were studying, Mary answered several phone calls, in a very loud voice.*John said that*Mary was speaking*too*loudly*for his*liking.",6,Were John and Mary at the library?,1,1,
1,library_ind_sarc,library,4,library4,exp,adjective,indirect,sarcastic,quietly,John,"John and Mary went to the library together. While they were studying, Mary answered several phone calls, in a very loud voice. John said that Mary was speaking too quietly for his liking.",1,"John and Mary went to the library together.*While they were studying, Mary answered several phone calls, in a very loud voice.*John said that Mary was speaking too*quietly*for his liking.","John and Mary went to the library together.*While they were studying, Mary answered several phone calls, in a very loud voice.*John said that*Mary was speaking*too*quietly*for his*liking.",6,Were John and Mary at the library?,1,1,
2,babysit_dir_lit,babysit,4,babysit4,exp,adjective,direct,literal,difficult,Patricia,"David and Patricia were raising their young twins. While David was struggling to calm the children,  Patricia muttered: ""My partner's having a difficult time babysitting the kids for the day."" ",0,"David and Patricia were raising their young twins.*While David was struggling to calm the children,*Patricia muttered: ""My partner's having a*difficult*time babysitting the kids for the day."" ","David and Patricia were raising their young twins.*While David was struggling to calm the children,*Patricia muttered:*""My partner's having a*difficult*time*babysitting the kids*for the day."" ",5,Do Patrica and David only have one child?,0,1,
2,babysit_dir_sarc,babysit,1,babysit1,exp,adjective,direct,sarcastic,relaxed,Patricia,"David and Patricia were raising their young twins. While David was struggling to calm the children,  Patricia muttered: ""My partner's having a relaxed time babysitting the kids for the day."" ",0,"David and Patricia were raising their young twins.*While David was struggling to calm the children,*Patricia muttered: ""My partner's having a*relaxed*time babysitting the kids for the day."" ","David and Patricia were raising their young twins.*While David was struggling to calm the children,*Patricia muttered:*""My partner's having a*relaxed*time*babysitting the kids*for the day."" ",5,Do Patrica and David only have one child?,0,1,
2,babysit_ind_lit,babysit,2,babysit2,exp,adjective,indirect,literal,difficult,Patricia,"David and Patricia were raising their young twins. While David was struggling to calm the children,  Patricia muttered that their partner was having a difficult time babysitting the kids for the day.",0,"David and Patricia were raising their young twins.*While David was struggling to calm the children,*Patricia muttered that their partner was having a*difficult*time babysitting the kids for the day.","David and Patricia were raising their young twins.*While David was struggling to calm the children,*Patricia muttered that*their partner was having a*difficult*time*babysitting the kids*for the day.",5,Do Patrica and David only have one child?,0,1,
2,babysit_ind_sarc,babysit,3,babysit3,exp,adjective,indirect,sarcastic,relaxed,Patricia,"David and Patricia were raising their young twins. While David was struggling to calm the children,  Patricia muttered that their partner was having a relaxed time babysitting the kids for the day.",0,"David and Patricia were raising their young twins.*While David was struggling to calm the children,*Patricia muttered that their partner was having a*relaxed*time babysitting the kids for the day.","David and Patricia were raising their young twins.*While David was struggling to calm the children,*Patricia muttered that*their partner was having a*relaxed*time*babysitting the kids*for the day.",5,Do Patrica and David only have one child?,0,1,
3,lego_dir_lit,lego,3,lego3,exp,adjective,direct,literal,useless,Jennifer,"Jennifer was building a very complicated structure out of Lego. Unfortunately, James unintentionally knocked some of it down. Jennifer said to James: ""You were really useless, please go away.""",1,"Jennifer was building a very complicated structure out of Lego.*Unfortunately, James unintentionally knocked some of it down.*Jennifer said to James: ""You were really*useless,*please go away.""","Jennifer was building a very complicated structure out of Lego.*Unfortunately, James unintentionally knocked some of it down.*Jennifer said to James:*""You were*really*useless,*please*go away.""",6,Did James accidentally damage the Lego structure?,1,1,
3,lego_dir_sarc,lego,4,lego4,exp,adjective,direct,sarcastic,helpful,Jennifer,"Jennifer was building a very complicated structure out of Lego. Unfortunately, James unintentionally knocked some of it down. Jennifer said to James: ""You were really helpful, please go away""",1,"Jennifer was building a very complicated structure out of Lego.*Unfortunately, James unintentionally knocked some of it down.*Jennifer said to James: ""You were really*helpful,*please go away""","Jennifer was building a very complicated structure out of Lego.*Unfortunately, James unintentionally knocked some of it down.*Jennifer said to James:*""You were*really*helpful,*please*go away""",6,Did James accidentally damage the Lego structure?,1,1,
3,lego_ind_lit,lego,1,lego1,exp,adjective,indirect,literal,useless,Jennifer,"Jennifer was building a very complicated structure out of Lego. Unfortunately, James unintentionally knocked some of it down. Jennifer said to James that he was really useless and should go away.",1,"Jennifer was building a very complicated structure out of Lego.*Unfortunately, James unintentionally knocked some of it down.*Jennifer said to James that he was really*useless*and should go away.","Jennifer was building a very complicated structure out of Lego.*Unfortunately, James unintentionally knocked some of it down.*Jennifer said to James that*he was*really*useless*and should*go away.",6,Did James accidentally damage the Lego structure?,1,1,
3,lego_ind_sarc,lego,2,lego2,exp,adjective,indirect,sarcastic,helpful,Jennifer,"Jennifer was building a very complicated structure out of Lego. Unfortunately, James unintentionally knocked some of it down. Jennifer said to James that he was really helpful and should go away.",1,"Jennifer was building a very complicated structure out of Lego.*Unfortunately, James unintentionally knocked some of it down.*Jennifer said to James that he was really*helpful*and should go away.","Jennifer was building a very complicated structure out of Lego.*Unfortunately, James unintentionally knocked some of it down.*Jennifer said to James that*he was*really*helpful*and should*go away.",6,Did James accidentally damage the Lego structure?,1,1,
4,competition_dir_lit,competition,2,competition2,exp,adjective,direct,literal,an unskilled,Susan,"Robert participated in a table tennis competition in the university. He didn’t perform very well and lost the game 0-3. During the break, Susan told Robert: ""You are an unskilled player.""",0,"Robert participated in a table tennis competition in the university.*He didn’t perform very well and lost the game 0-3.*During the break, Susan told Robert: ""You are*an unskilled*player.""","Robert participated in a table tennis competition in the university.*He didn’t perform very well and lost the game 0-3.*During the break,*Susan told Robert:*""You are*an unskilled*player.""",6,Did Robert win the game?,0,1,critical word at last
4,competition_dir_sarc,competition,3,competition3,exp,adjective,direct,sarcastic,a terrific,Susan,"Robert participated in a table tennis competition in the university. He didn’t perform very well and lost the game 0-3. During the break, Susan told Robert: ""You are a terrific player.""",0,"Robert participated in a table tennis competition in the university.*He didn’t perform very well and lost the game 0-3.*During the break, Susan told Robert: ""You are*a terrific*player.""","Robert participated in a table tennis competition in the university.*He didn’t perform very well and lost the game 0-3.*During the break,*Susan told Robert:*""You are*a terrific*player.""",6,Did Robert win the game?,0,1,
4,competition_ind_lit,competition,4,competition4,exp,adjective,indirect,literal,an unskilled,Susan,"Robert participated in a table tennis competition in the university. He didn’t perform very well and lost the game 0-3. During the break, Susan told Robert that he was an unskilled player.",0,"Robert participated in a table tennis competition in the university.*He didn’t perform very well and lost the game 0-3.*During the break, Susan told Robert that he was*an unskilled*player.","Robert participated in a table tennis competition in the university.*He didn’t perform very well and lost the game 0-3.*During the break,*Susan told Robert that*he was*an unskilled*player.",6,Did Robert win the game?,0,1,
4,competition_ind_sarc,competition,1,competition1,exp,adjective,indirect,sarcastic,a terrific,Susan,"Robert participated in a table tennis competition in the university. He didn’t perform very well and lost the game 0-3. During the break, Susan told Robert that he was a teriffic player.",0,"Robert participated in a table tennis competition in the university.*He didn’t perform very well and lost the game 0-3.*During the break, Susan told Robert that he was*a teriffic*player.","Robert participated in a table tennis competition in the university.*He didn’t perform very well and lost the game 0-3.*During the break,*Susan told Robert that*he was*a teriffic*player.",6,Did Robert win the game?,0,1,
5,sleep_dir_lit,sleep,1,sleep1,exp,adjective,direct,literal,awful,William,"Karen was working late at night and struggled to stay awake. William told Karen: ""Falling asleep at a laptop is always awful."" Karen decided to head to bed. ",1,"Karen was working late at night*and struggled to stay awake.*William told Karen: ""Falling asleep at a laptop is always*awful.""*Karen decided to head to bed. ","Karen was working late at night*and struggled to stay awake.*William told Karen:*""Falling asleep at a laptop*is always*awful.""*Karen decided to*head to bed. ",6,Was Karen tired while working?,1,1,
5,sleep_dir_sarc,sleep,2,sleep2,exp,adjective,direct,sarcastic,fun,William,"Karen was working late at night and struggled  to stay awake. William told Karen: ""Falling asleep at a laptop is always fun."" Karen decided to head to bed. ",1,"Karen was working late at night*and struggled  to stay awake.*William told Karen: ""Falling asleep at a laptop is always*fun.""*Karen decided to head to bed. ","Karen was working late at night*and struggled  to stay awake.*William told Karen:*""Falling asleep at a laptop*is always*fun.""*Karen decided to*head to bed. ",6,Was Karen tired while working?,1,1,
5,sleep_ind_lit,sleep,3,sleep3,exp,adjective,indirect,literal,awful,William,Karen was working late at night and struggled to stay awake. William told Karen that falling asleep at a laptop was always awful. Karen decided to head to bed.,1,Karen was working late at night*and struggled to stay awake.*William told Karen that falling asleep at a laptop was always*awful.*Karen decided to head to bed.,Karen was working late at night*and struggled to stay awake.*William told Karen that*falling asleep at a laptop*was always*awful.*Karen decided to*head to bed.,6,Was Karen tired while working?,1,1,
5,sleep_ind_sarc,sleep,4,sleep4,exp,adjective,indirect,sarcastic,fun,William,Karen was working late at night and struggled to stay awake. William told Karen that falling asleep at a laptop was always fun. Karen decided to head to bed. ,1,Karen was working late at night*and struggled to stay awake.*William told Karen that falling asleep at a laptop was always*fun.*Karen decided to head to bed. ,Karen was working late at night*and struggled to stay awake.*William told Karen that*falling asleep at a laptop*was always*fun.*Karen decided to*head to bed. ,6,Was Karen tired while working?,1,1,
6,museum_dir_lit,museum,4,museum4,exp,noun,direct,literal,nightmare,Richard,"Richard and Lisa were on a field trip at the museum. Richard exclaimed: ""Learning all this history is going to be a nightmare."" Lisa glanced at the endless exhibits and was discouraged. ",0,"Richard and Lisa were on a field trip at the museum.*Richard exclaimed: ""Learning all this history*is going to be a*nightmare.""*Lisa glanced at the endless exhibits and was discouraged. ","Richard and Lisa were on a field trip at the museum.*Richard exclaimed:*""Learning all this history*is going to be a*nightmare.""*Lisa glanced at the endless exhibits*and was discouraged. ",5,Were Richard and Lisa at a library?,0,1,
6,museum_dir_sarc,museum,1,museum1,exp,noun,direct,sarcastic,breeze,Richard,"Richard and Lisa were on a field trip at the museum. Richard exclaimed: ""Learning all this history is going to be a breeze."" Lisa glanced at the endless exhibits and was discouraged. ",0,"Richard and Lisa were on a field trip at the museum.*Richard exclaimed: ""Learning all this history*is going to be a*breeze.""*Lisa glanced at the endless exhibits and was discouraged. ","Richard and Lisa were on a field trip at the museum.*Richard exclaimed:*""Learning all this history*is going to be a*breeze.""*Lisa glanced at the endless exhibits*and was discouraged. ",5,Were Richard and Lisa at a library?,0,1,
6,museum_ind_lit,museum,2,museum2,exp,noun,indirect,literal,nightmare,Richard,Richard and Lisa were on a field trip at the museum. Richard exclaimed that learning all this history was going to be a nightmare. Lisa glanced at the endless exhibits and was discouraged. ,0,Richard and Lisa were on a field trip at the museum.*Richard exclaimed that learning all this history*was going to be a*nightmare.*Lisa glanced at the endless exhibits and was discouraged. ,Richard and Lisa were on a field trip at the museum.*Richard exclaimed that*learning all this history*was going to be a*nightmare.*Lisa glanced at the endless exhibits*and was discouraged. ,5,Were Richard and Lisa at a library?,0,1,
6,museum_ind_sarc,museum,3,museum3,exp,noun,indirect,sarcastic,breeze,Richard,Richard and Lisa were on a field trip at the museum. Richard exclaimed that learning all this history was going to be a breeze. Lisa glanced at the endless exhibits and was discouraged. ,0,Richard and Lisa were on a field trip at the museum.*Richard exclaimed that learning all this history*was going to be a*breeze.*Lisa glanced at the endless exhibits and was discouraged. ,Richard and Lisa were on a field trip at the museum.*Richard exclaimed that*learning all this history*was going to be a*breeze.*Lisa glanced at the endless exhibits*and was discouraged. ,5,Were Richard and Lisa at a library?,0,1,
7,spelling_dir_lit,spelling,3,spelling3,exp,adjective,direct,literal,carelessly,Joseph,"Joseph and Donna worked together on a group assignment. Joseph pointed out the many spelling mistakes in Donna's part and said: ""You have done it so carelessly.""  Donna decided to look up the spelling online. ",1,"Joseph and Donna worked together on a group assignment.*Joseph pointed out the many spelling mistakes in Donna's part*and said: ""You have done it so*carelessly.""*Donna decided to look up the spelling online. ","Joseph and Donna worked together on a group assignment.*Joseph pointed out the many spelling mistakes in Donna's part*and said:*""You have done it*so*carelessly.""*Donna decided to*look up the spelling online. ",5,Did Donna’s work have errors?,1,1,
